id,Count
AB,8322
AL,3852
B,6803
BA,11684
BB,724
BD,256
BH,4990
BL,7066
BN,5020
BR,2616
BS,1873
BT,2408
CA,4434
CB,4857
CF,9877
CH,6592
CM,5812
CO,5685
CR,1013
CT,8945
CV,5648
CW,1582
DA,10949
DD,9349
DE,9239
DG,9595
DH,11194
DL,10546
DN,1656
DT,7083
DY,11015
E,5206
EC,7620
EH,6474
EN,9636
EX,10677
FK,148
FY,490
G,11139
GL,6838
GU,5753
HA,11790
HD,2140
HG,10320
HP,8881
HR,7806
HS,2781
HU,7516
HX,7816
IG,256
IP,4083
IV,11963
KA,6601
KT,2634
KW,10955
KY,10764
L,4942
LA,7571
LD,6868
LE,3633
LL,2433
LN,7435
LS,1541
LU,843
M,10971
ME,1677
MK,6575
ML,4181
N,3778
NE,136
NG,3916
NN,6067
NP,2102
NR,4181
NW,9692
OL,6693
OX,4677
PA,2869
PE,11901
PH,868
PL,3768
PO,6415
PR,1412
RG,8330
RH,10428
RM,4345
S,4291
SA,4205
SE,4040
SG,3382
SK,11321
SL,4855
SM,1245
SN,4537
SO,4784
SP,4655
SR,6884
SS,3430
ST,5854
SW,5876
SY,6882
TA,2406
TD,11963
TF,8700
TN,11714
TQ,3972
TR,6886
TS,795
TW,10711
UB,4326
W,9927
WA,9041
WC,5220
WD,4377
WF,783
WN,4639
WR,796
WS,5130
WV,199
YO,4357
ZE,7606
